Timestamp,Source IP,Dest IP,Hostname,Device Name,Port,Protocol,VT Results,AV Status,Attachments,Status,Action Taken,Country
21-05-2026 18:20,45.132.224.22,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,5798,TCP,2 flags,"MALICIOUS (Triggered 4 Multi-Vendor Signatures: Symantec, FireEye)",NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,Australia
21-05-2026 18:20,45.146.164.120,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,57828,TCP,0 flags,CLEAN (Passed Perimeter Defense Shield),NONE DETECTED,OPEN,Unresolved (Pending Tier-3 Analyst Manual Verification),Russia
21-05-2026 18:20,77.247.110.11,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,8987,TCP,0 flags,CLEAN (Passed Perimeter Defense Shield),NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,The Netherlands
21-05-2026 18:20,185.220.101.5,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,60058,TCP,9 flags,"MALICIOUS (Triggered 3 Multi-Vendor Signatures: Symantec, FireEye)",NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,Germany
21-05-2026 18:20,210.123.45.67,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,62639,TCP,0 flags,CLEAN (Passed Perimeter Defense Shield),NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,South Korea
21-05-2026 18:20,198.51.100.42,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,54958,TCP,0 flags,CLEAN (Passed Perimeter Defense Shield),NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,Romania
21-05-2026 18:20,178.239.176.22,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,63460,TCP,0 flags,CLEAN (Passed Perimeter Defense Shield),NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,Italy
2026-05-21 18:31,198.51.100.42,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,31039,TCP,0 flags,CLEAN (Passed Perimeter Defense Shield),NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,Romania
2026-05-21 18:31,185.220.101.5,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,55634,TCP,9 flags,"MALICIOUS (Triggered 3 Multi-Vendor Signatures: Symantec, FireEye)",NONE DETECTED,OPEN,Unresolved (Pending Tier-3 Analyst Manual Verification),Germany
2026-05-21 18:31,109.202.107.5,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,63272,TCP,1 flags,"MALICIOUS (Triggered 4 Multi-Vendor Signatures: Symantec, FireEye)",NONE DETECTED,CLOSED,TRUE_POSITIVE_PERMANENT_FIREWALL_ISOLATION_ENFORCED,Netherlands
2026-05-21 18:31,45.146.164.120,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,3522,TCP,0 flags,CLEAN (Passed Perimeter Defense Shield),NONE DETECTED,OPEN,Unresolved (Pending Tier-3 Analyst Manual Verification),Russia
2026-05-21 18:31,45.132.224.22,10.0.0.5,LAPTOP-CKIEC755,Windows AMD64,9229,TCP,2 flags,"MALICIOUS (Triggered 3 Multi-Vendor Signatures: Symantec, FireEye)",NONE DETECTED,OPEN,Unresolved (Pending Tier-3 Analyst Manual Verification),Australia
